sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 17, 2026 18:49:59

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=14)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_e28a7d4c8cc34a9cb9a97c74b3f9b99f(ASYNC_STAGE=3,WIDTH=14,ACTIVE_LOW=0)	     30(30)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=14)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=13)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=12)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=11)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=10)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=9)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=8)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=7)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=6)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
  +Gen_RFIFO_16.u_R0_FIFO_16:R0_FIFO_16                     	      78(0)	      20(0)	      32(0)	      60(0)	     0(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_999a6bd87d6240e6b5110248e73f14b9(FAMILY="TITANIUM",SYNC_STAGE=3,MODE="FWFT",DATA_WIDTH=128,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2,ASYM_WIDTH_RATIO=1)	      78(4)	      20(0)	      32(0)	      60(0)	     0(0)	     8(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_999a6bd87d6240e6b5110248e73f14b9(FAMILY="TITANIUM",MODE="FWFT",RD_DEPTH=4096,WDATA_WIDTH=128,RDATA_WIDTH=16,RADDR_WIDTH=12,OUTPUT_REG=0,RAM_MUX_RATIO=8)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_999a6bd87d6240e6b5110248e73f14b9(FAMILY="TITANIUM",SYNC_CLK=0,SYNC_STAGE=3,MODE="FWFT",RADDR_WIDTH=12,ASYM_WIDTH_RATIO=1,RAM_MUX_RATIO=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROG_EMPTY_NEGATE=2)	     74(74)	      20(0)	     32(32)	     60(24)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_999a6bd87d6240e6b5110248e73f14b9(WIDTH=13)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_999a6bd87d6240e6b5110248e73f14b9(STAGE=3,WIDTH=13)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=13)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=12)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=11)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=10)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=9)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=8)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=7)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=6)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_999a6bd87d6240e6b5110248e73f14b9(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_999a6bd87d6240e6b5110248e73f14b9(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	     46(46)	       0(0)	     24(24)	     77(77)	     0(0)	     0(0)	     0(0)	
 +u_sobel_stream:sobel_stream_720p                          	     49(49)	    2624(0)	   142(142)	    153(81)	     0(0)	     0(0)	     0(0)	
  +u_line_delay:sobel_line_delay                            	       0(0)	 2624(2624)	       0(0)	     72(72)	     0(0)	     0(0)	     0(0)	
 +u_rgb2dvi:rgb2dvi(ENABLE_OSERDES=0)                       	      24(0)	       0(0)	      23(0)	      40(0)	     0(0)	     0(0)	     0(0)	
  +enc_0:tmds_channel                                       	       9(9)	       0(0)	       6(6)	     13(13)	     0(0)	     0(0)	     0(0)	
  +enc_1:tmds_channel                                       	       8(8)	       0(0)	       4(4)	     10(10)	     0(0)	     0(0)	     0(0)	
  +enc_2:tmds_channel                                       	       7(7)	       0(0)	     13(13)	     17(17)	     0(0)	     0(0)	     0(0)	
